App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Released,Last Updated,Content Rating,Ad Supported,In App Purchases,Editors Choice,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
facilisimo,Lifestyle,4.5,6448,"500,000+",500000,529958,True,0.0,USD,Varies with device,Varies with device,Fundación facilisimo,3-Dec-15,15-Feb-19,Everyone,True,False,False,,,,,,,,,,
Dessert Recipes,Food & Drink,4.5,1531,"100,000+",100000,432012,True,0.0,USD,Varies with device,Varies with device,Fitness Circle,9-Apr-15,3-Nov-20,Everyone,True,True,False,,,,,,,,,,
Postres caseros fáciles,Food & Drink,5.0,6,100+,100,320,True,0.0,XXX,9.2M,4.1 and up,Imágenes para Whatsapp,2-Oct-20,2-Oct-20,Everyone,True,False,False,,,,,,,,,,
PedidosYa - Delivery Online,Food & Drink,3.7,231744,"10,000,000+",10000000,21083417,True,0.0,USD,53M,5.0 and up,PedidoYa S.A.,12-Mar-12,19-Nov-20,Everyone,False,False,False,,,,,,,,,,
Autobiography of a Yogi  - Paramahansa Yogananda,Books & Reference,4.9,803,"10,000+",10000,20751,True,0.0,USD,4.2M,4.1 and up,Quotes & Messages,28-Nov-18,10-Oct-20,Everyone,True,False,False,,,,,,,,,,
Amazing Psychology Facts and Life Hacks - Daily,Books & Reference,4.5,30,"1,000+",1000,4724,True,0.0,USD,4.4M,4.1 and up,Quotes & Messages,11-Jun-19,18-Sep-20,Everyone,True,False,False,,,,,,,,,,
Mehndi Design 2020,Art & Design,4.1,735,"500,000+",500000,654814,True,0.0,USD,16M,4.1 and up,Ms. Beautician,26-Sep-19,13-Nov-20,Everyone,True,False,False,,,,,,,,,,
Best Mehndi Designs,Beauty,4.9,2920,"100,000+",100000,329928,True,0.0,USD,6.6M,4.4 and up,Z Tech Apps,2-Mar-20,20-Aug-20,Everyone,True,False,False,,,,,,,,,,
Amazing Facts - Did You Know That?,Entertainment,4.6,11405,"500,000+",500000,742243,True,0.0,USD,9.7M,4.4 and up,FIRE SHOOTERS,13-Jan-19,19-Jun-20,Teen,True,True,False,,,,,,,,,,
Zenith Bank eToken,Business,3.5,124,"10,000+",10000,41901,True,0.0,USD,6.6M,4.1 and up,Zenith Bank,20-Jan-20,20-Jan-20,Everyone,False,False,False,,,,,,,,,,
Switch by Sterling,Finance,2.2,19,"1,000+",1000,2273,True,0.0,USD,18M,4.1 and up,Sterling Bank Plc,24-Apr-20,16-Nov-20,Everyone,False,False,False,,,,,,,,,,
Portrait Sketch,Photography,3.9,20927,"5,000,000+",5000000,5963142,True,0.0,USD,22M,5.0 and up,Dumpling Sandwich Software Inc.,17-Sep-12,15-Nov-20,Everyone,True,False,False,,,,,,,,,,
Raken - Construction Daily Reports & Safety Talks,Productivity,4.6,1541,"100,000+",100000,166565,True,0.0,USD,111M,5.0 and up,Raken Construction Daily Reports Software,2-Jun-14,20-Nov-20,Everyone,False,False,False,,,,,,,,,,
Dommuss,Productivity,3.7,219,"10,000+",10000,47083,True,0.0,USD,17M,4.1 and up,"Dommuss Digital, S.L.",17-Oct-14,30-Jun-20,Everyone,True,True,False,,,,,,,,,,
Invoices & customer management - HM,Business,4.0,34,"5,000+",5000,5316,True,0.0,USD,4.6M,5.1 and up,Mickael Belhassen,24-Jan-18,9-Jul-18,Everyone,False,True,False,,,,,,,,,,
"UPX Unblock Websites Proxy Browser - Private, Fast",Tools,4.5,37995,"1,000,000+",1000000,2368346,True,0.0,USD,Varies with device,5.0 and up,Unblock Vpn Proxy Browser,9-Aug-18,20-Nov-20,Everyone,True,False,False,,,,,,,,,,
X-VPN - Free Private VPN Proxy,Tools,4.4,208929,"10,000,000+",10000000,23161644,True,0.0,USD,34M,4.1 and up,Free Connected Limited,29-Jun-17,19-Nov-20,Everyone,True,True,False,,,,,,,,,,
Psiphon Pro - The Internet Freedom VPN,Communication,4.1,561768,"50,000,000+",50000000,71532160,True,0.0,USD,22M,4.0 and up,Psiphon Inc.,2-Nov-15,9-Nov-20,Everyone,True,True,False,,,,,,,,,,
Free VPN Tomato | Fastest Free Hotspot VPN Proxy,Tools,4.5,141288,"10,000,000+",10000000,17562061,True,0.0,USD,17M,5.0 and up,IronMeta Studio,21-Aug-19,4-Aug-20,Everyone,True,True,False,,,,,,,,,,
"Qr Reader, Qr scanner",Tools,0.0,0,100+,100,256,True,0.0,XXX,9.6M,4.1 and up,Imágenes para Whatsapp,18-Oct-20,19-Oct-20,Everyone,True,False,False,,,,,,,,,,
Imágenes para WhatsApp - Frases y estados,Entertainment,5.0,9,500+,500,872,True,0.0,XXX,9.6M,4.1 and up,Imágenes para Whatsapp,24-Oct-20,24-Oct-20,Mature 17+,True,False,False,,,,,,,,,,
Recetas de Belleza natural piel natural,Beauty,5.0,5,10+,10,34,True,0.0,XXX,9.4M,4.1 and up,Imágenes para Whatsapp,3-Oct-20,3-Oct-20,Everyone,True,False,False,,,,,,,,,,
Facts: Did you know?,Entertainment,4.7,43,"5,000+",5000,5003,True,0.0,USD,7.6M,4.1 and up,Pearamone,18-Sep-19,16-Nov-20,Everyone,True,True,False,,,,,,,,,,
Psychology,Education,4.1,639,"100,000+",100000,154295,True,0.0,USD,24M,5.0 and up,Open Education,14-Feb-17,8-Oct-20,Everyone,True,True,False,,,,,,,,,,
How To Bake,Food & Drink,4.5,14097,"1,000,000+",1000000,1482696,True,0.0,USD,8.5M,4.0.3 and up,Primex Technologies,9-Nov-18,22-Oct-19,Everyone,True,False,False,,,,,,,,,,
